DensityC,CagingC,pixelscmC,gridcm2C,wholesquaresC,squarescoveredC,percentcoverC
3, +C,152,0.5,71,42,59.15492958
3, +C,152,0.5,33,24,72.72727273
3, +C,152,0.5,37,23,62.16216216
3, +C,145.5,NA,NA,NA,NA
3, +C,145.5,0.5,76,21,27.63157895
3, +C,145.5,0.5,95,50,52.63157895
3, +C,144,0.5,60,26,43.33333333
3, +C,144,0.5,69,30,43.47826087
3, +C,144,0.5,38,20,52.63157895
7, +C,134.67,0.5,96,72,75
7, +C,134.67,0.5,58,28,48.27586207
7, +C,134.67,0.5,75,37,49.33333333
7, +C,149.34,0.7,73,34,46.57534247
7, +C,149.34,0.5,42,22,52.38095238
7, +C,149.34,0.5,45,35,77.77777778
7, +C,142.67,0.5,100,47,47
7, +C,142.67,0.5,48,27,56.25
7, +C,142.67,0.5,74,34,45.94594595
10, +C,151.33,0.5,86,42,48.8372093
10, +C,151.33,0.5,54,25,46.2962963
10, +C,151.33,0.5,45,27,60
10, +C,147,0.5,52,38,73.07692308
10, +C,147,0.5,39,24,61.53846154
10, +C,147,0.5,44,32,72.72727273
10, +C,134.67,0.5,68,44,64.70588235
10, +C,134.67,0.5,54,26,48.14814815
10, +C,134.67,0.5,84,42,50
15, +C,136.67,0.5,83,44,53.01204819
15, +C,136.67,0.5,78,38,48.71794872
15, +C,136.67,0.5,76,62,81.57894737
15, +C,138.67,0.5,84,42,50
15, +C,138.67,0.5,76,38,50
15, +C,138.67,0.5,56,31,55.35714286
15, +C,158.62,0.5,75,53,70.66666667
15, +C,158.62,0.5,68,51,75
15, +C,158.62,0.5,43,25,58.13953488
20, +C,148.67,0.5,40,26,65
20, +C,148.67,0.5,43,28,65.11627907
20, +C,148.67,0.5,61,48,78.68852459
20, +C,147.33,0.5,74,59,79.72972973
20, +C,147.33,0.5,79,53,67.08860759
20, +C,147.33,0.5,82,69,84.14634146
20, +C,141.33,0.5,94,79,84.04255319
20, +C,141.33,0.5,61,53,86.8852459
20, +C,141.33,0.5,96,89,92.70833333
25, +C,145,0.5,50,37,74
25, +C,145,0.5,33,23,69.6969697
25, +C,145,0.5,36,29,80.55555556
25, +C,151.5,0.5,46,36,78.26086957
25, +C,151.5,0.5,45,42,93.33333333
25, +C,151.5,0.5,63,55,87.3015873
25, +C,151.5,0.5,65,50,76.92307692
25, +C,151.5,0.5,55,48,87.27272727
25, +C,151.5,0.5,71,61,85.91549296
30, +C,147,0.5,74,57,77.02702703
30, +C,147,0.4,33,20,60.60606061
30, +C,147,0.5,67,57,85.07462687
30, +C,130.67,0.5,41,29,70.73170732
30, +C,130.67,0.5,61,43,70.49180328
30, +C,130.67,0.5,62,57,91.93548387
30, +C,141.5,0.5,65,48,73.84615385
30, +C,141.5,0.5,72,62,86.11111111
30, +C,141.5,0.5,64,50,78.125
