DensityU,CagingU,pixelscmU,gridcm2U,wholesquaresU,squarescoveredU,percentcoverU
3, -C,136,0.5,59,30,50.84745763
3, -C,127,0.5,97,55,56.70103093
3, -C,NA,NA,NA,NA,NA
3, -C,NA,NA,NA,NA,NA
3, -C,144,0.3,49,23,46.93877551
3, -C,144,0.5,62,38,61.29032258
3, -C,144,0.1,30,21,70
7, -C,150.67,0.5,34,11,32.35294118
7, -C,150.67,0.5,56,20,35.71428571
7, -C,150.67,0.5,27,16,59.25925926
7, -C,141.33,0.5,56,25,44.64285714
7, -C,141.33,0.5,53,30,56.60377358
7, -C,141.33,0.5,75,44,58.66666667
7, -C,131,0.5,56,10,17.85714286
7, -C,131,0.5,55,17,30.90909091
7, -C,131,0.5,64,21,32.8125
10, -C,147.33,0.5,84,30,35.71428571
10, -C,147.33,0.5,70,35,50
10, -C,147.33,0.5,30,10,33.33333333
10, -C,150,0.5,63,26,41.26984127
10, -C,150,0.5,47,17,36.17021277
10, -C,150,0.5,47,19,40.42553191
10, -C,148.67,0.4,53,18,33.96226415
10, -C,148.67,0.5,72,31,43.05555556
10, -C,148.67,0.5,77,54,70.12987013
15, -C,131.5,0.5,90,46,51.11111111
15, -C,131.5,0.5,90,50,55.55555556
15, -C,131.5,0.5,40,19,47.5
15, -C,142.5,0.5,56,19,33.92857143
15, -C,142.5,0.5,41,21,51.2195122
15, -C,142.5,0.5,69,23,33.33333333
15, -C,148,0.5,89,41,46.06741573
15, -C,148,0.5,53,34,64.1509434
15, -C,148,0.5,71,32,45.07042254
20, -C,141.33,0.5,50,23,46
20, -C,141.33,0.5,60,43,71.66666667
20, -C,141.33,0.4,33,26,78.78787879
20, -C,148.67,0.5,59,38,64.40677966
20, -C,148.67,0.3,42,29,69.04761905
20, -C,148.67,0.5,47,24,51.06382979
20, -C,140,0.5,78,51,65.38461538
20, -C,140,0.5,40,27,67.5
20, -C,140,0.5,87,56,64.36781609
25, -C,125,0.5,59,43,72.88135593
25, -C,125,0.5,44,21,47.72727273
25, -C,125,0.5,47,30,63.82978723
25, -C,142.93,0.5,60,44,73.33333333
25, -C,142.93,0.5,75,55,73.33333333
25, -C,142.93,0.5,47,30,63.82978723
25, -C,142.67,0.5,78,41,52.56410256
25, -C,142.67,0.5,67,31,46.26865672
25, -C,142.67,0.5,58,31,53.44827586
30, -C,139,0.5,51,37,72.54901961
30, -C,139,0.5,55,41,74.54545455
30, -C,139,0.5,44,36,81.81818182
30, -C,158,0.5,54,41,75.92592593
30, -C,158,0.5,59,43,72.88135593
30, -C,158,0.5,63,36,57.14285714
30, -C,148.67,0.5,39,18,46.15384615
30, -C,148.67,0.5,64,36,56.25
30, -C,148.67,0.5,40,20,50
